# Vanilla ability action data for The Ivalice Chronicles Mod Studio
# =================================================================
#
# One ability per line:
#
#     <decimal id>|<Range>|<EffectArea>|...|<CT>|<MPCost>|<Flags1..4>
#
# The `#columns:` line below is the authority on the order - the tool reads
# it from there rather than counting positions, so a hand-edited file with a
# column dropped is refused instead of silently misread.
#
# Blank lines and lines starting with # are ignored, except the `#columns:`
# line below, which names the fields and is what the tool reads the order
# from. Edit freely - this is your file. Deleting it is fine too: the
# Abilities tab then shows -1 for an inherited field, as it did before.
#
# WHAT THIS IS FOR
# ----------------
# The Abilities tab's override layer patches the game's own ability table.
# A field it does not set reads -1, and in the vanilla game that is eight of
# its ten fields on all 368 abilities. This file is what lets the tab say
# "Inherits 6" instead of just "-1", and it is what lets the Inflict Status
# tab list the abilities that use each status row.
#
# The last four columns are the flag bytes - FFTPatcher's Flags I to IV, in
# that order. The nxd stores them as `Flags12` and `Flags34`, two values to
# an array, and the table layout says which is which: Flags12[0] is Flags1.
# They are what the four tick-box panels show while a group is inheriting.
#
# WHERE IT CAME FROM, AND HOW SURE IT IS
# --------------------------------------
# Derived from FFTPatcher's copy of the WAR OF THE LIONS ability table
# (Glain, https://github.com/Glain/FFTPatcher, GPL-3.0), 14 bytes per
# ability at 0x1000 + 14*id. The Ivalice Chronicles does not ship this
# table as a file - it lives inside the executable - so it cannot be
# compared byte for byte against your own game. What IS established:
#
#   * the ability ids are the same ids: FFTPatcher's War of the Lions names
#     and this game's agree exactly on 440 of 491 - 89.6%;
#   * the table is the same length, and it is an odd one - the 14-byte
#     record stops at id 0x16F, and OverrideAbilityActionData holds exactly
#     368 rows keyed 0-367;
#   * this game's own 32 overrides all land on an ability whose value here
#     is non-zero, and 31 of the 32 are strictly LOWER - a rebalance of
#     these numbers, with nothing restating a value it already had;
#   * everything else this game reuses from the older data is
#     byte-identical - all four ENTD battle files by checksum, and the
#     ability effect and animation tables inside battle_bin.
#
# **War of the Lions, not the original PlayStation release.** FFTPatcher
# ships both and they differ in 55 of the 368 records. The first version of
# this file used the older one, and about one ability in seven was wrong -
# Plunder Gil, a War of the Lions ability, was showing an Inflict Status it
# does not have. If a value here ever looks wrong, that is the first thing
# to suspect.
#
# That is strong evidence and not a proof. If you find a value here that
# disagrees with the game, this file is yours to correct.
#
#columns: id|Range|EffectArea|Vertical|Element|Formula|X|Y|InflictStatus|CT|MPCost|Flags1|Flags2|Flags3|Flags4

0|0|0|0|0|13|0|0|0|0|0|32|0|8|146
1|4|1|1|0|12|0|14|0|4|6|0|0|226|0
2|4|1|1|0|12|0|20|0|5|10|0|0|226|0
3|4|1|2|0|12|0|30|0|7|16|0|0|226|0
4|4|1|3|0|12|0|40|0|10|20|0|0|34|0
5|4|0|0|0|13|180|50|32|4|10|0|0|226|0
6|4|0|0|0|13|160|100|32|10|20|0|0|226|0
7|3|0|0|0|11|140|0|33|7|16|0|0|226|0
8|3|1|0|0|11|170|0|34|4|8|0|0|226|0
9|3|1|0|0|11|200|0|35|4|6|0|0|226|0
10|3|1|3|0|11|120|0|35|7|24|0|0|34|0
11|3|1|0|0|11|200|0|36|4|6|0|0|226|0
12|3|1|3|0|11|120|0|36|7|20|0|0|34|0
13|3|0|0|0|11|140|0|37|4|24|0|0|226|0
14|3|1|2|0|11|190|0|38|3|18|0|0|226|0
15|5|0|0|2|8|0|50|0|6|56|0|0|226|64
16|4|1|1|128|8|0|14|0|4|6|0|0|226|66
17|4|1|2|128|8|0|18|0|5|12|0|0|226|66
18|4|1|3|128|8|0|24|0|7|24|0|0|226|66
19|4|2|3|128|8|0|32|0|10|48|0|1|34|2
20|4|1|1|64|8|0|14|0|4|6|0|0|226|66
21|4|1|2|64|8|0|18|0|5|10|0|0|226|66
22|4|1|3|64|8|0|24|0|7|24|0|0|226|66
23|4|2|3|64|8|0|32|0|10|48|0|1|34|2
24|4|1|1|32|8|0|14|0|4|6|0|0|226|66
25|4|1|2|32|8|0|18|0|5|12|0|0|226|66
26|4|1|3|32|8|0|24|0|7|24|0|0|226|66
27|4|2|3|32|8|0|32|0|10|48|0|1|34|2
28|4|1|2|0|10|160|0|39|3|6|0|0|226|66
29|3|0|0|0|10|120|0|115|5|12|0|0|226|66
30|4|0|0|0|14|100|100|41|10|24|0|0|226|66
31|5|0|0|0|8|0|46|0|7|60|0|0|226|66
32|3|1|0|0|11|180|0|42|2|8|0|0|226|0
33|3|1|3|0|11|240|0|42|7|30|0|0|34|0
34|3|1|0|0|10|180|0|43|2|8|0|0|226|66
35|3|1|3|0|10|240|0|43|7|30|0|0|34|2
36|3|1|0|0|10|110|0|44|7|14|0|0|226|66
37|3|1|1|0|10|190|0|45|3|10|0|0|226|66
38|4|1|1|0|11|140|0|46|2|8|0|0|226|0
39|4|0|0|0|11|180|0|47|2|12|0|0|226|0
